percent_population_change,percent_people_over_65,percent_african_american,percent_hispanic,percent_hs_grad,percent_bachelor,rate_homeownership,median_house_value,median_hh_income,percent_poverty,percent_vote_difference
-5.7,17.1,47.9,4.8,76.9,12.7,55.9,55100,28680,30.1,6.3
0.6,16.1,28,2.9,81.3,19.1,61.2,83300,31171,28.5,3.3
6.7,11.2,11.3,4.1,89.4,27.2,65.2,137800,50314,14.6,-2.5
-1.8,18,0.9,3,82.1,12.4,74,93000,36766,20.5,6.1
-1,25.4,0.6,1.2,83.7,10,78.1,88200,35522,18.7,12.2
1.4,21.7,8.5,5.3,86.8,20.9,68.6,130500,39162,20.7,1.3
1.6,16.1,2.8,2.6,84.9,17.6,77.8,100800,49004,9.9,1
3.8,15,0.9,2.7,82.8,14.7,63.3,99100,38413,17.1,12.5
-1.2,16.3,29.9,12.6,81.7,14.1,68,73100,32056,27.4,1.5
1.4,17.2,11.6,3.3,83.4,12.3,72.5,81300,41193,14.2,9.4
-2.1,16.9,20.9,11,76,12,63.3,74500,35879,23.2,5.1
0.9,17,2.3,5.9,82.5,14.4,70.6,88900,35026,23.7,4.9
-1.5,25,1.8,1.9,79.8,11.7,78,73900,30661,18.7,11.4
-2.6,16.7,17.6,2.9,75.6,8.8,67.2,56500,30284,28.4,11.5
-6.6,15.1,55.5,1.9,83,17.5,64.5,81100,37140,23.9,3.4
1.8,15.8,2.1,13.5,79.7,14.7,66.2,88700,31003,20.1,7.9
-7,21.5,37.1,2,77.5,10.7,72.7,52200,29732,24.1,5.6
-2.8,19.3,1,1.3,77.4,10.4,70.7,59800,32239,25.4,13.1
-5.4,16.7,54.2,2.7,70.1,7.1,57,54700,25034,31.5,9.4
-1.2,13.5,30.3,3.6,73.5,7.9,69.7,59300,32697,27,9
-4.8,19.5,19.7,3.1,83.4,10.6,78,80900,39673,14,3.6
-1.8,19.2,1.5,2.7,81.3,11.7,75.4,81100,34996,17.6,5.6
4.7,12.6,6.2,4,86.7,18.2,73.2,120600,52582,13.2,0.2
0.1,17.5,0.4,5.4,76.6,10.3,76.5,92800,35771,22.6,11.7
-1.7,26.8,0.4,2.3,83.6,12.9,79.5,92700,34494,18.9,11.3
-0.1,15.2,25.1,3.1,85.1,13.9,67.2,92900,41319,19.5,1.8
-4.8,13.4,34.9,4,77.8,13,58.8,75300,36428,24.9,8.8
-7,20.3,40.3,2.2,75.3,11.3,63.5,52200,27263,28.8,3.1
-4.3,25.4,0.6,3.6,82.3,12.9,79.8,76400,31345,22,7.3
-3,19.4,30.5,3.3,82.1,12.8,73.1,64600,33694,26.5,4.9
-5.1,24.3,0.3,1.8,79.8,12.7,82.5,74600,30038,23.5,12.5
-5,18.3,40.3,2.2,84.7,15.5,66.3,70000,32015,23.1,1.1
-1.9,17.9,2.2,2.8,84.6,11.9,79.5,77700,42455,15.6,7.9
-8.4,16.3,61.6,1.7,72.8,12,54.5,59500,26737,33.5,8
-2.4,18.6,3.5,6.6,80.1,13.8,73.1,75200,32206,24.8,5.9
-1.4,17.1,8,2.7,73.3,8.6,62.5,71300,32089,28.1,-9.4
-2.1,21.7,0.5,6.4,85.1,12.3,77,82700,32835,23.1,5.6
2.3,14.4,3.2,8.4,81.9,20.7,69.8,110200,40453,19.3,0.8
-4.7,22,11.7,1.2,78.6,9.3,72.9,72400,34855,21.2,7.2
2.6,13.5,36,6,89.2,31.2,60.4,140500,46013,17.2,-10.4
-2.2,19.9,0.9,1.9,80.4,12.3,75.3,74100,34418,21.8,14.8
-4.8,13.9,52.7,4.4,76,11.7,55.3,65600,30873,28.4,5.2
8,17.1,6.6,4.2,89.2,23.4,77.7,138600,55348,8.6,-1.5
-4.8,18.7,0.7,7.6,77,11.6,73,82100,37448,20,9
-3.2,23.6,0.3,2.1,74.1,12,77.5,85100,30779,26.1,9.4
0.8,14.5,6.8,13.4,82.2,19.2,62.8,114500,40471,21.2,-1.8
2.2,13.6,4.5,32.7,66.3,8.6,69.6,68800,35153,24.4,0.3
-2.1,25.7,0.8,2.1,83,11,80,73800,30861,23.9,11.3
0.8,25.4,0.4,1.8,78.9,14.2,78.3,88100,29832,25.5,4.7
-3.4,16.6,32.6,3.6,82.4,16.1,69.3,75000,37435,21.5,0.2
-2.6,24.6,0.5,3.1,81.4,13.6,78.1,86700,32517,24.5,11.4
8.7,10.7,3.5,16.2,82.6,28.7,55.9,148800,41248,20.7,-8.2
2,15.1,4.6,4.2,82.6,18.1,68.4,100100,42487,17.5,1.6
-4.9,21.2,26.9,1.5,73.6,10.1,62.9,58400,28259,24.3,15.3
-1.1,17.1,2.1,18.9,71.3,9.4,66.4,91200,35535,22.7,6.4
6.7,12.5,12.1,22.7,86.4,41.8,53.2,493800,72112,12.5,-19.3
-5,21.1,0.3,9.6,90.4,31.2,81.5,333600,58636,16.6,0.6
-3.5,25.1,2.1,13,88.1,19.3,76.1,270500,53684,12.6,3.8
1.9,17,1.8,15.5,87.7,24.4,60.1,225900,43752,20.4,-2.8
-2.1,25.1,1,11.5,92.8,21.2,78.4,254800,55295,10.9,1.9
0,13.1,1.2,58.1,69.4,13.8,63.3,181600,52158,12.5,-8.9
5.9,14.2,9.6,25.2,88.8,39,65.9,404000,78756,10.5,-19.3
-4.9,15.6,3.5,19,79.1,14,60.2,198400,37909,21.8,2.6
1.1,18,1,12.7,93.2,32,74.8,359500,69297,9,-7.6
3.8,11.2,5.9,51.9,73.1,19.6,53.8,195400,45563,26,-7.8
-0.6,14.9,1.2,40.4,72.3,14.6,63.1,217700,43023,18.8,2
0.1,15.4,1.4,10.8,90.4,27.5,55.9,288300,41426,20.4,-4.4
2.6,12,3.5,82.3,64.5,13.3,56.4,147300,41807,23.3,-22.7
-0.7,21.4,1,20.9,88.1,21.4,64.1,236100,44796,12.8,-2.3
4.2,9.9,6.3,51.5,72.4,15,58,161700,48552,22.9,-5.1
-1.8,9.1,7.3,53.2,71,12.9,51.8,176900,48133,21,-1.8
-0.7,20.6,2.1,19.1,85.4,16.2,62.7,183600,36548,25,10.8
-9,12.5,8.8,18.5,79.4,13.1,62.9,185500,53107,16.9,5
3,12.2,9.2,48.4,76.6,29.7,46.9,420200,55909,17.8,-18.6
2.4,12.8,4.3,56.1,68.5,13.6,60.8,182000,45625,22.8,-4.4
3.3,19.4,2.9,16,92.4,54.6,62.8,781900,90839,7.7,-31.4
-3.1,24.5,1.1,10.3,87.7,21.3,71.6,235000,49820,16.1,3.5
0,18.9,1,24.1,85.2,22,58.2,323600,43469,20,9.2
