percent_population_change,percent_people_over_65,percent_african_american,percent_hispanic,percent_hs_grad,percent_bachelor,rate_homeownership,median_house_value,median_hh_income,percent_poverty,percent_vote_difference
-1.8,18.1,0.6,1.1,92.7,26.5,82.4,120800,63027,6.2,1.5
-2.5,19.8,1.9,1.2,86.1,13.5,77.9,74700,39845,16.6,15.6
-4.3,21.3,6.7,1.9,87.6,13.5,81.1,98900,38371,17,15.6
-5.6,20.2,32.3,1.9,80.2,12,78.1,55300,33717,18.8,23
-3.2,19.8,0.9,4.7,88.8,14.1,79.6,126500,54196,14.2,19.6
-1.8,17.2,10.1,2.8,82.2,11.8,76,92100,47427,12.4,23.6
-1.1,20,0.6,1.5,90.6,20.4,74.9,78100,44070,14.2,15.1
-1,17.6,9.8,12.4,87.4,21.8,70.2,113800,48702,13.3,11.6
-1.6,13.8,30.2,3.8,89.5,25.3,67.2,123700,50578,17.6,7.1
-1.2,19.2,4.1,1.7,84.9,14.6,72.2,70500,37800,19.1,15.6
0.8,15.5,12.4,2.2,92,32.5,70,126200,55449,14.2,-3.1
-2.8,19.7,3.5,1.8,88.9,18.6,81,76600,48138,15.9,25.3
-2.8,18.6,0.5,1.2,89.8,13.7,75.9,82900,49669,12.3,22.5
-1.4,20.6,0.4,1,89.8,14.4,81.2,86100,47188,11.8,14.2
-3,24.4,0.6,1.1,87.9,16.7,82,88300,54203,11.1,14.4
-2.7,20.5,9.6,3.5,89.5,17.9,71.8,101800,43472,15.9,8.2
0.2,17,1.3,2.2,91.7,23.6,76,132000,56067,9.1,5.3
-2,19.9,1.1,5.1,83.9,20.1,75.7,87500,41848,19.5,13.5
-2.3,17.4,13.5,4.7,85.7,13.9,70.6,75300,41400,19.6,9.5
-3.3,18.9,0.9,1.5,89.3,16.8,78.7,80900,47365,12.7,10.4
0.9,18.4,2.4,9.4,87.8,20.9,73.4,81500,43536,15.8,19.7
-2.6,18.4,0.8,1.6,89.7,20.5,80.6,107900,52832,10.2,16.6
-1.3,19.8,0.6,1.3,86.4,11.8,79.1,75700,43605,14.7,8.2
-2,21.8,0.6,1.3,85.4,14.3,78.6,72200,42914,15.6,15.5
-2.8,18.9,1.7,11.8,87.4,16.2,75.6,99400,47667,12,23.8
1.2,11.2,11.8,16.6,90.5,32.3,82.9,219400,76147,8,-6
1,17.6,4.3,2.4,88.9,22.5,72,93700,43125,15.6,11.3
-2.3,15.6,12.9,12,86.2,21.2,66.9,123400,47072,17.5,3.1
1.4,16.3,0.7,1.8,93,27.6,81.6,158600,66639,8.8,-1
1.2,14.4,0.4,4.4,84.3,14.7,78.9,116100,46695,18.1,7.6
3,13.1,12.1,7.2,89,26.3,69.8,112700,49370,15.3,-0.3
4.5,14.9,2.3,6.4,89.1,26.5,70.9,134900,54165,12.2,3.3
-1.7,16.2,1,5.4,88.9,16,74.4,84300,48711,11.1,8.4
-2.9,19.8,0.6,1.6,86,9.8,75,70400,39225,16,21.5
9.3,12.6,1.5,2.6,93.5,41,76.8,179000,67255,7.5,-9.6
-1.8,21.1,0.6,1.6,87.1,21.1,83,157400,51568,14.6,11.2
-1.2,17.7,0.6,4.1,87.7,16,78.8,103900,50542,10.7,13.7
-1.4,16.2,2,13.8,83.1,13.7,75.9,81900,41940,16.5,15
3.7,14.3,7.4,5.2,86.2,18.9,71.6,127400,50496,12.2,8.7
-1.2,16.6,0.6,1.3,86.6,14,76.2,91300,46430,15.8,17.1
-1.3,15.8,0.6,14.9,84.7,13,72.1,97300,48953,13.9,11.8
-0.5,17.2,0.5,1.4,80.8,12.1,82,83300,39700,19.6,24.5
3.4,14.5,1,4.6,77.5,12.4,75.8,105500,47165,12.9,6.8
-1.1,15.3,0.7,1.2,89,17.6,77,160400,56946,9.1,10
3,15.4,0.5,1.8,87.1,13.7,70.6,112000,48047,14.1,10.7
0.4,14.8,0.5,2.7,87.9,16.3,78.7,107800,47247,12.4,10.5
-0.5,16,7.1,2.1,86.9,22.5,63.8,89600,37474,22.3,14.6
1.1,15.9,0.5,6.7,86.9,18.9,78.2,133200,54780,8.3,6.8
2.2,13.3,6.2,15.1,80.5,18.2,71.6,121700,45693,16.7,2.6
-3.4,18.4,1.6,0.9,77.3,8.9,72,81700,37391,23,25.4
2.1,14.5,5.5,2.9,88,22.6,71.8,150400,53961,13.3,2.2
-3.4,19.2,0.4,2.6,85.5,11.9,76.5,88800,45884,11.9,15.5
-0.7,15.6,0.4,1.1,85.4,18.1,79.4,150100,49516,13.5,12.1
-1.6,17.6,0.8,5.1,84.1,12.7,76.5,95600,40168,15.5,9.6
0.8,16.5,2.1,1.6,90.1,16.1,77.8,104400,49329,11.5,11.1
-2.1,17.7,7.3,4,85.7,16.8,69.7,80100,39747,18.6,12.4
-1.3,18,0.3,1.3,84.6,12.1,78.4,88800,43980,14,15.7
10.2,10.4,4.1,3.8,96.3,55.1,79.2,215600,82468,5.1,-14.3
2.8,15.1,2.3,2.1,92.6,26.3,80.2,155400,62981,7.6,0.1
-0.2,16,0.6,1.8,87.6,14.9,81.2,122100,50510,13.2,16.4
7.3,12.3,6,3.5,93.5,32.2,82.4,159800,68297,5,-3.5
-0.9,18,2.7,1.6,85.8,14.9,73.3,94200,40679,17,21.3
0.3,18,7.3,3.1,88.8,20,70.5,98500,43590,16.7,14.9
-1.1,15.9,0.6,2.1,88.5,16.9,77.4,97100,46148,12,5.8
3.1,15.3,1,6.4,86.2,14.5,73,117100,46501,13,17.6
0,15.8,0.9,5.9,87.2,14.9,79.6,146200,57500,7.7,14
-0.3,16.5,0.4,3,84.1,10,76,79300,40235,14.7,21.7
0.2,16.3,2,2.5,83.9,17.8,72.6,111500,43795,13.6,17.3
-1.8,14.8,0.9,2.3,85.3,9.6,75.9,89700,44128,16.7,23.9
5.5,13.8,1.9,3.4,91,26.8,72.6,144300,61231,10.6,0.6
-1.3,16.7,3.1,1.8,86.2,14.1,67.4,84100,42119,14,12.7
1.6,15,1.1,8,85.8,20.3,77.7,132200,50859,11.9,-0.2
3.5,12.6,0.5,3.9,62.1,10.3,78.9,160200,47617,16.5,10
-1.2,14.6,25.3,18.1,87,19.8,69.6,136600,49035,17.8,11.3
0,15.8,11.4,6.1,86.5,17.3,72.7,122800,47538,16.5,18.2
-0.9,18.2,0.5,1.6,84.1,13.7,78.3,98200,42627,15.2,12.8
-1.2,16.9,8.5,3.7,87,16.7,69.9,92800,43120,17.3,18
3.4,11.3,27.8,9.8,84.5,27.4,55.8,118000,42334,20.4,-5.2
0.1,16.1,0.9,9.4,84.4,16.6,77.9,124600,45709,15.2,7.6
-1.7,17.1,0.2,0.8,82.9,10.8,80.5,88500,44740,14.6,11.7
-2.6,15.9,4.8,2.8,83.3,10.6,75.3,84100,42023,17.2,16
3.9,11.4,3.5,3.3,91.9,43.4,54,156300,40052,25.1,-11.9
0.1,16.6,1,4.5,87.8,17.8,72.2,108300,46797,16.8,7.5
1.1,15.1,0.5,1.4,87.4,16.1,76.5,141200,55354,11.5,9.5
-0.6,17.7,0.7,5.9,85.4,8.5,76.6,112000,50262,11.2,20.8
0.2,14.6,0.8,10.1,83.3,13.2,76.1,112700,47117,14.2,9.8
-1.5,19.6,0.5,1.2,85.4,13.1,74.4,137900,50377,8.3,16.2
-1.1,17.5,1.1,1.3,80.4,12.6,74.6,88100,38826,17.9,19
-2.8,17.3,0.5,1.3,83.2,11,78.7,101900,43950,14,15.6
-0.7,17.1,2.6,1.3,82.8,13.7,83.8,87600,43870,13.3,13.8
0.6,16.6,2.9,1.3,84,10.9,79.9,97300,47596,10.9,31.2
-1.7,19,0.6,1.3,85.8,11.2,83.1,85800,40680,12.7,20.2
1.7,14.4,3.8,9.5,91.4,25.4,77.4,165700,62794,10.4,7.3
-1.4,16.2,1,1.1,92.1,20.5,85,127900,58750,9.9,10.9
-3.2,17.8,0.9,2.9,85.3,13.1,80,94900,44764,14,13.7
-0.9,15.2,4.2,1.9,85.9,16.2,79.1,125800,50821,9.7,11.2
-3,18.6,0.7,3.2,85.2,12.4,73.4,76200,40904,17.4,17.8
-1.1,16.9,0.4,1.7,86.3,15.9,76.2,132000,47537,9.4,12.5
-2.9,17.4,1,1.4,87.1,15.1,71.9,104700,47401,15.4,11.2
0.3,14.3,13.2,8.2,87.8,26.5,69.5,115100,44582,17.7,0
-1.9,15.8,0.4,1.8,78.7,11.5,73.2,101400,42898,19,28.7
0.4,15.6,1.2,3.9,85.6,14.8,71.1,125000,51440,12.9,8.2
-0.7,18,0.8,2.8,86.5,15.5,82.1,113300,52991,12.6,16.4
-1.2,16.8,0.4,3.4,82.2,12.3,81.1,96900,40126,16.9,27.5
0.4,17.2,0.9,3.2,88.7,19.4,77.3,123000,48080,11.5,11.6
-2,16.3,4.7,1.8,85.3,13.2,72.2,77600,43510,17.9,21.3
-1.5,16.3,0.8,1.7,82.5,9.9,76.3,110800,44143,22.2,27.6
6,10.3,4.9,8,90.7,35.7,54.2,130900,44246,21.6,-2
-3.3,19.3,0.5,2.6,88.7,16.4,77.2,108300,52686,9.4,14.8
-3.6,16.9,0.7,1.4,85.4,18.4,76.1,103200,44161,12.7,14
1.3,15.2,9.4,2.5,89.2,22.6,63.6,112900,43540,15.9,3
-3.2,18.6,0.4,1.1,89.1,13,78.2,75100,42524,15.8,25.3
0.3,14.5,7.2,2.6,86.6,21.2,63.9,91600,40692,20,14
-1.9,19.4,0.8,2.4,86.1,17,76.2,95000,45286,15.1,9
-1.8,18.7,0.3,1.4,82.5,16,76.6,99500,52317,7.1,18.1
2.4,16.1,1.6,1.7,92.4,27.2,83.3,146300,62351,9,3.7
-1.4,15.4,0.4,1.4,80.1,11.9,80.3,101500,41986,15.1,18.9
-1.9,17.9,5,2.7,83.4,17.4,66.8,94100,38350,21.8,11.4
0.8,17,0.6,2.5,90.7,15.7,78.3,112500,48136,10.7,6.4
-0.8,18.8,0.8,7.7,89.2,15.4,76.6,109800,51444,10.8,14.1
0.3,16,0.5,2,90.4,16.7,81.7,126300,51914,8.2,6.9
-3,22.1,0.4,1.7,90.7,16.3,77.1,90900,47892,9.5,22.6
-3.8,22,0.4,1.1,90.4,13.7,78.5,85200,45871,11.3,30.9
-2,21.3,1.4,5.7,89,14.9,79.5,114400,48831,12.6,25.8
-1.8,21.4,0.7,1.5,88.3,18.3,72.5,77600,39208,15.2,29.5
-5.3,24.3,0.4,1.1,90.3,16.6,80.4,71100,48313,9.5,20.7
-1.5,16.9,0.6,1.3,91.9,18.8,80.4,131500,56669,8.4,20.9
1.4,14.8,9,4.2,89.5,25.3,67.8,123600,45747,17,10
0.5,17,1.2,2.4,92,20.3,75.6,117300,51826,10.1,16.1
1.8,18.4,1,1.4,93.8,28.3,81.3,145300,61216,7.3,11.7
0.4,16.2,0.5,1.4,90.6,17.1,78.1,122200,55553,9.9,28
1.6,14.6,2.9,24.8,78.7,20,68,97700,46951,12.8,9.5
0.9,21,0.3,1.1,90.9,15,79.6,100400,52026,9.8,20.7
-3.1,22.3,1.9,2,90.5,19.1,79,72200,44484,13.4,21.9
-1.2,19.2,0.8,2.3,91.3,18.8,75.4,105700,48361,9.6,20.5
-3.6,21.5,0.5,2.4,92.8,19,71.8,88100,43481,11.4,14.7
-0.5,18.4,0.5,1.8,92.1,19.5,78.8,132800,58088,8,19
-2,19.7,1.4,4.3,92,21,71.6,110800,44795,13.2,19.5
-2,22.4,0.9,3.2,91.6,19.6,74.9,80200,48977,9.7,17.9
-1.4,19.4,0.6,2.3,88.8,13.8,80.1,95900,43971,10.3,33.8
-0.7,17.6,0.9,12.1,87.3,14.3,71,84900,43216,13.7,27.2
-0.9,19.6,0.7,3.2,93.1,18.4,74.2,105400,49035,8.9,17
-2.4,20.9,0.7,1.9,91.6,15.5,78.2,102400,47494,12.5,27.2
-2.2,18.3,3.2,2.9,90,17.7,74.4,110300,49559,14,30.5
0.8,16.9,2.3,27.3,78.9,14.7,75.9,83100,46548,15.8,25.3
17,11.2,1.8,6.3,94.4,43.6,77.4,184100,73847,6.4,-7.4
0.3,17.5,0.2,1.2,85.5,16.4,80.2,99700,45040,21.2,23.6
-2.3,18.3,2,2.6,85,18.4,70.1,77700,36326,19.5,21.5
-2.1,18.1,0.4,1.1,91,15.5,78.8,125300,54076,8.4,25
-0.2,18.8,5.9,2.9,91.1,18.9,73.1,93900,42451,13.8,26.3
1.6,24.2,0.4,1.7,93.3,25.4,75.6,159700,56136,7.8,12.6
2.9,16.2,3,2.2,91.4,27.1,73,145900,51475,10.9,13.3
-3,19.2,1,10.4,88.4,15.3,79.8,82200,48601,12.5,23.3
-2.6,20.4,1.2,2.2,88.9,18.4,77.6,85400,45542,11.5,31
-1.4,20.7,2,2.3,90.5,15.9,72.9,90200,43826,12.6,29.9
-2.3,20.1,0.9,11.8,85.2,15.1,73.7,87500,48355,11.1,16.9
-5.6,21.6,0.7,2.6,91.7,20.5,77.5,94100,50520,10.2,25.3
-1.5,21.4,0.6,2.9,88.8,17.4,76,78200,45865,13,19.8
-0.6,19.8,0.5,1.2,93.9,20.7,81.9,123700,56827,7,9.4
-2.1,21.7,0.3,2.3,91.4,17.1,80.4,97100,50609,10.3,17.7
-3.5,19.4,0.8,5.4,89.7,18,71,91400,43589,12.3,15.8
-2.8,20.2,0.7,3.5,90.7,16.6,80.1,85300,50105,10.4,21.5
-1.3,21.2,1.5,4.1,91.7,19.7,74.4,89900,49342,8.6,17.3
-4.1,19.1,0.4,1.4,91.1,17.7,77.2,108200,54583,9.6,19
0.4,17.6,2.6,4.7,91.3,20,74,103700,46376,17.9,18.7
-1.2,19.7,0.8,1.4,87.1,11.6,79.8,91800,46429,11.6,49.4
-1.8,20.3,0.7,4,90.5,18.2,76.7,84900,47897,10.2,17.1
-0.7,21.6,0.4,2,89.4,19.6,73.3,76400,43449,14.4,17.8
0.1,18,0.7,2.5,93.2,21,79.7,138000,58008,10.9,14.1
-1.8,19.8,0.6,1.3,89.2,14.5,76.2,110000,46467,10.5,39
0.1,18,1.9,1.9,91.5,17.8,71.3,113100,50513,11.8,22.9
2.9,18.8,1.9,2.9,95,31.2,71.9,92400,48814,12.4,14.5
8.7,9.9,5.9,5.5,94.8,51.1,59.7,186000,53424,17.7,-11.7
-0.9,18.5,2.3,1.6,91.4,17.2,80.2,122100,55041,8.3,25.7
-2.7,20.1,0.5,1.6,88.2,13.4,80.6,75700,42167,13.2,28.1
-2.1,22.5,0.6,2,92.2,18.3,80.5,91100,51812,8.7,19.1
-1.6,18.6,3.1,3.4,90,15.8,73.9,83100,42469,15.1,33.9
3.1,14.3,4.5,2.9,93.8,31.2,73,144300,57260,9.7,3.8
-2,16.6,1,16.2,83.3,13.5,78.6,95400,50583,12.2,26.1
-2.2,21,0.3,1.3,89.9,11.3,77.5,82700,43288,17,27.1
0.9,16.9,0.3,2.7,89.1,17.6,82.3,105700,52152,8,6.6
-0.4,16.3,0.5,1.5,94.2,21.5,76.8,160700,57581,8.9,13.5
0,16.9,1.3,1.9,90.5,21.5,70.5,100900,47967,15.9,18.4
0.2,16.4,1,1.9,92.4,25,75.8,132000,54723,9.2,11.4
0.5,17.5,2,19.9,85.2,19.3,73.4,105400,51555,12.1,14.8
-1.5,15.8,0.6,2.6,92.1,24,83.7,149400,63076,7,13
0.1,21.5,0.6,1.2,91,15.7,81.4,108100,51078,7.1,25.3
-2.7,24.6,0.5,2,89.7,14.3,70.7,77800,42025,9,26.8
0.4,19,0.6,2.4,86.7,19.3,75.5,95200,45997,11.8,28.9
-3,20.8,0.4,3.5,87.4,15.1,71.8,79600,44281,16.1,14.5
0.4,15,2.2,17.2,84.6,16.2,74.9,124400,51425,14.4,21.1
-2.4,20.6,0.9,4.5,91.1,18.9,74.9,93000,48185,11.3,8.3
-3.8,20.2,0.4,6.8,86.3,15.6,74.9,75600,48659,8.6,13
-2.8,20.8,2.4,2.9,89.3,17.4,73.2,77700,43010,13.9,13.1
-3.4,21.4,0.9,2.1,90,16.5,77.2,83400,44663,9.2,20.8
-0.4,17.6,0.5,4.1,92.5,20.9,79.3,129800,58888,6.4,11.3
-2.4,22.3,0.9,3.4,92.6,17.8,79.4,60600,44073,14.2,17.5
6.8,11.7,6.7,8,91.8,34.9,69.2,154400,59018,11.8,-3.1
0,15.7,1.6,7.2,89.3,19.1,70.2,126300,51304,13.8,10.9
-1.3,19.2,1.4,3,92.6,24.1,72.9,117600,50349,12.8,13.9
-1.6,25.3,0.4,2,88.5,17.6,76.5,78500,44551,13.1,28
-3,22.3,0.3,2.8,91.4,19.1,81.4,79700,48093,8.7,21.9
3.7,14.4,7.5,6.3,92.3,31.6,69,143600,52735,13.1,8.2
-1.8,22.4,0.5,2.3,90.9,18.2,77.7,104700,48783,10.8,14.5
2.9,14.5,1,9.8,88.6,23.4,80,131200,57227,8.2,-1.8
5.1,10.7,2.8,3.1,95.5,47.7,55,162200,50516,20.9,-7
-1.8,19.2,0.6,8.4,89.9,16.1,74.7,101300,51670,11.5,26
-2.8,21.1,0.4,7.5,90,13.8,76.2,66400,43804,14.5,24.4
-0.1,18.9,1,2.8,91.5,16.5,73.2,91600,44838,16.1,28.6
-1.3,20.8,0.3,1.3,87.2,14.4,85.8,69700,43181,16.5,23.1
-1.2,17,2.2,10,84.6,16.2,72.8,78800,41425,19.1,34
3.7,14.9,0.7,2.5,95.3,26.7,78.7,154100,62535,7.3,9
1.7,18.5,0.9,5.6,89.5,20.8,75.7,121800,54554,9.8,11.9
-0.1,22.3,0.7,1.7,88.4,14.1,82.7,62300,40024,12.4,29.1
-2.8,17.2,4.2,4.3,88.8,19.2,68.5,84300,41624,15.8,24.9
-2.8,20.4,1.4,3.9,91.9,18.6,76.1,91900,45603,11.4,22
-1.4,18.1,0.8,2.1,93.8,26.5,77.3,151500,53122,8.4,13.4
0.1,13.8,2.8,15.2,85.4,20.3,67.7,97900,45856,15.7,15.8
0.3,19.8,0.9,2.7,92.5,16.3,81.1,96900,50476,11.5,37.7
-2.9,21.3,0.8,10.2,88.8,16,77.4,71700,45205,11,18.9
-3.5,19,2.2,3.3,88.6,16.1,74.9,63300,40554,17,7.7
-2.7,20.6,0.6,1.7,87.4,19,76.4,96300,41713,12.8,6.1
-2.4,16.3,5.2,2.9,91.7,21.6,72.7,87000,45212,17.1,5.4
0.7,20.3,0.6,3.6,92,19.8,72.7,61900,45920,10.6,7.4
-1,17.3,1.8,14.3,86,18.3,71.4,75300,44981,13.9,1.2
-2.6,18.5,3.3,2.3,87.5,22,72.6,78400,39591,19.3,10.9
-1.7,19,1.6,3.8,90.9,18.2,66.9,77100,39968,19,2
0.5,14,1.9,4.5,92.8,26.7,76.1,127800,56454,8.4,-0.5
-3.5,23.1,1.3,4,90.2,23.6,73.5,81100,36815,13.1,3.3
-5.1,25.8,0.9,3,87.1,16.3,76.5,46500,39529,15.2,5.2
-3.8,17.7,0.8,2.3,86.1,14.9,75.9,71600,39746,18.4,12.7
-1.2,26.5,0.1,7.1,89.2,21.7,74,76700,37875,11.2,2.2
-3.2,20.8,0.7,9.8,92.1,26.2,72.4,59800,41129,12.7,4.6
-2.6,21.9,0.7,2.6,95.2,20.7,76.6,85700,45233,14,0.3
-1.6,21.1,0.9,3.5,89.7,16.6,76.2,66100,38534,16.3,2.2
-2,19.3,0.8,2.8,92.1,19.9,76.5,98200,51793,9.1,1.3
3.3,22.9,0.3,5,92.1,23.9,75.5,54100,39375,6.4,-0.4
-1,17,3,10.2,88,20,68.8,80600,41878,17.6,3.3
0.4,14.8,2.3,5.1,90.2,27.2,60.9,83800,37378,20.6,12.1
-1.8,27.1,0.9,2,90.1,19.9,82,53500,39333,10.1,5.1
-1.8,18.4,1,4.5,90.8,18.5,73.4,106700,48890,10.9,1.4
-0.9,17.5,3.4,2.8,90,17.5,74.1,83300,46512,12.3,8.6
5.2,10.3,4.6,5.8,95.1,49.6,52,180300,49508,19,-19.4
-0.2,19.3,1.6,19.7,85.6,22.3,75.3,56500,46551,12.9,2.9
-6.5,27.2,0.1,3.8,89.2,18,80.2,52100,34089,18.5,8.5
2,13.8,1,5.7,92.7,32.3,62.9,138400,43085,16.2,0.6
-1.6,19.5,5.1,5.9,89.7,20.8,77,73300,45865,6.9,3.4
1.1,9.4,3.3,48.2,70.6,17.9,64.7,109700,47945,16,-6
2.8,10.4,3,52.9,69.7,16.7,61.9,88800,51178,15.5,-0.4
-1.5,15.4,1.4,3.9,90.7,20.2,70.9,119700,49543,13.1,3.3
6.8,7.6,18.8,15,91,20.8,46.6,136500,46908,12.1,2.4
1.2,23.2,0.6,2.7,92.8,20.3,79.5,71500,44866,10.3,0.5
-1.2,25.4,4.4,3.2,93.9,22.9,82.5,63800,47500,11.2,1.2
-0.2,11.2,0.9,46.4,76,17.8,73.8,90900,53213,13,-3.4
1.3,14.4,0.7,14.2,77.3,20.2,75.8,105900,57808,11.2,-0.5
4.3,20.9,0.5,17.6,91.7,21.9,80.3,78500,52847,5.4,1
-5.4,23.6,0.5,4,90.6,16.5,76.3,56800,38346,16.1,4
-3.2,11.9,0.5,33.7,81.9,12.6,75.2,75100,43357,11.2,3
-3.6,21.7,0.5,7.1,87.7,16.9,73.1,66100,38313,16.5,5.2
0.4,17.9,1.9,11.5,89.3,26.3,72.3,111600,50287,12.8,-3.3
-3.5,12.1,0.9,28.8,72.7,17.7,74.3,103300,52415,10.4,-6.8
0,23.2,0.9,6.5,90.9,22.6,79.5,76500,52375,5.2,2.9
0.6,17.2,0.9,4.7,94.3,17.7,76.3,118200,54546,9.4,6.9
-1.4,17.2,0.8,2.6,91.9,21.3,84.9,125800,56875,7.7,4.3
-1.1,27.3,0.3,2.4,91.9,14.7,79.4,56500,39884,12.5,-1.7
5.5,12.7,5,7.4,95.6,51.7,70.1,210900,74717,6.5,-17.4
-1.6,14.1,0.8,29.7,79,17.2,73,91700,52264,10.1,0.1
-2,21.6,0.3,3.1,88.1,19.3,71.4,86700,47466,12.5,3.1
-1.6,18.9,0.9,6.5,91.4,20,65.2,102800,44650,12.3,-2.4
-3,18.1,4.6,4.4,89.7,20.4,71.1,66100,40916,15.3,11.9
-3.6,23.5,0.8,6.4,90.9,22.7,77.8,58200,53021,10.3,3.1
3.4,12.7,9.6,6.9,92.1,28.7,67.4,165800,63435,10.7,-0.6
-2.3,20.7,0.5,2.4,92.1,19.7,78.9,63500,40811,12.8,2.5
-1.6,20.9,0.8,2.3,89,14.2,81,98000,45519,12.9,10.1
1.4,19.7,1,4.9,90.9,15.6,70.8,72700,41765,12.8,0.2
-1.4,13.7,2.8,20.7,86.8,24.1,58.9,93100,38981,21.1,-1.2
0.2,19,1.2,3.8,88.5,25.7,78.3,124600,54167,8.2,-3
-3.6,22.3,1.2,3.2,89,20.8,80.8,83000,45830,12,-0.2
-1.1,21.2,0.3,2.3,92.8,15,76.1,81700,44032,12.2,6.4
-4.8,17.6,0.8,16.9,85.8,23.8,71.7,85500,51000,9.5,-1.9
0.1,15.2,1.3,3.1,93.5,23.9,79.3,162500,58936,9.5,0.7
-1.4,22.5,0.3,2,93.4,23.8,70.4,74600,46667,9.7,0
-4,18.1,5.8,6.3,88.2,17.9,70.1,71200,39669,19.4,4.6
-3.8,23.6,0.6,4.4,89.3,17.4,78.4,81900,47445,8.3,0.6
-3.8,18.2,0.9,21.1,85,17.5,70.4,82100,46607,11.3,-0.7
-0.3,20.1,0.7,1.7,90,19.5,79.2,95200,47122,11.5,3.5
-0.6,18.4,1.3,5.2,89.8,16.2,73.5,68900,42071,20.7,7
-0.1,23.8,0.7,9.8,91,19,82.5,57200,48800,12.7,0.9
-2,19.4,3.1,5.3,87.7,15.4,74.6,66000,46029,9.4,2.2
-2.2,18.5,0.5,2.7,90.6,20.6,78.2,99000,50205,10.6,6.8
-2.6,24.8,0.3,1.8,88.5,18,79.4,51200,37925,17.3,2
-0.4,18,0.9,3.1,92.3,21,81,93400,58396,9.5,0.8
-0.8,19,5.1,7.8,90,22.9,72.3,73700,44078,6.3,2.1
-1.9,21.4,0.5,3,91.8,18.3,77.8,64400,43059,10,1
6,13.2,1.4,5.2,94.6,29.3,78,153700,56854,9,-0
2,17.9,1.4,6.8,88.6,23.4,69.2,79000,46035,11.6,2
2.6,26.6,0.5,4.8,91.4,23.3,70,66700,43482,11.5,-1.8
-1.1,18,3.4,9,88.7,19.8,68.2,90600,43798,12.4,-0.2
-3.6,27.4,0.7,1.5,94.4,19.8,80.3,49200,39572,12.5,1
-0.7,17.5,1.8,11.1,89.9,20.9,73.1,74200,45336,14.9,2.4
5.7,7.9,6.9,8.1,95.4,45,42.5,170400,43962,23.2,-12.9
-0.5,20.6,0.6,2.5,91.5,20.9,74.9,62500,42449,18.3,2.2
-3.3,24.2,0.4,3.3,90.7,19.4,75,57300,42610,12.8,7.5
-0.2,22.4,1.1,2.5,90.6,21.8,75.3,65000,37111,14.6,1.3
0.3,15.7,3.6,10.9,89,23.9,67.1,119500,47215,17.4,-2.9
2.9,17.8,0.6,17.5,86.4,23.4,73.3,104800,50605,11.3,0.7
2.1,12.8,9.5,13.9,88.6,28.7,64.9,124000,49865,15.3,-4.5
2.2,8.8,4.2,59.1,63.3,12.6,63.9,90000,50185,19.4,-9.6
0.3,16.1,8.8,11.6,90.3,28.6,64.4,120300,48451,16.7,-3.5
-0.7,22.7,0.2,3.8,90.8,22.4,78.3,77900,48674,12.9,1.2
1.7,18.3,1,12.2,88.9,15.7,54.5,74200,38634,16.8,6.7
-2.2,26.3,0.5,1.7,89.2,16.7,79.7,60800,45556,15.4,0.7
-3.2,20.5,0.7,13.1,87.9,19.1,81.5,60900,43292,15.1,4.5
-5.5,16.6,0.9,36.2,76.9,18.5,77.7,81000,46382,4,-2.4
1.3,13.2,0.8,34.9,80.6,17.6,75.2,86200,54494,15.1,-2.2
-2.5,17.1,1.3,5.2,90.9,17.8,77.4,85500,47894,13.4,5.2
-0.1,15.5,0.8,5.4,91.6,27.9,68.5,97200,48187,11.2,0.9
-3.3,24.2,0.7,2,90.2,21.5,74.8,74500,45714,6.7,4.2
-0.4,17.5,0.8,3.4,95.4,20.6,84.3,112200,54694,6.4,2.2
1.4,21.4,0.9,6.7,87.5,23.5,77.6,61900,47454,8.4,1.5
-3.5,23.6,0.6,3.4,90.3,16.1,79.4,58300,42515,10.2,-0.7
-2.6,18,1.1,28.4,77.4,16.6,73.1,71100,53018,9.9,-1.5
-4,20.1,0.5,2.8,81.9,13,75,63200,38917,17.8,3.8
-4.6,22.6,0.5,2.7,90.7,18.2,81,50900,33839,19.6,4.3
2.6,11.2,24.8,27.3,78.2,15.5,60.3,93800,39402,23.9,5.8
2.9,16.4,3,1.9,73.7,13.9,74.7,78600,32524,19.1,5
2.1,16.1,1.1,1.9,76.4,12.7,73.7,96800,40008,18.6,9.5
2.2,14.2,2.2,1.5,87.2,20.4,74.5,132300,52646,11.3,9.2
-0.1,19.5,3.1,1.3,84.4,13.1,81.6,94400,44588,14.4,13.5
2.3,16.8,4.2,3,79.2,14.7,68.2,105400,38873,20.8,10.7
5.3,16,1.5,1.3,73.9,12,79,65400,30797,28,22
-3.2,17.3,2.4,1,68.3,10.8,67.7,67300,26228,33.5,6.3
6.4,11.2,3.2,4,91.9,30.4,75.5,172700,67225,9,-0.8
-0.1,17.5,6.3,6.9,81.6,15.8,59.8,139900,40933,17.2,6.8
-1.4,17.9,3.1,1.6,87.6,16.3,68.8,96900,40379,19.9,16.3
4.5,17.6,7.8,3,84.7,22.8,65,130700,41473,18.3,-0.1
-1,15.4,0.7,1.6,80.9,14.2,78.3,90700,39196,16.8,22.5
-3.4,15.4,0.5,0.8,63.8,9.8,75,47400,24045,32.5,5.2
-0.8,17.6,2.2,1.3,76.6,9.4,80,82700,38907,19.6,17.3
4.9,13.6,1.1,1.7,85,12.7,82.2,145500,54836,10.2,8.5
